route_id;review_text
1;03.03.23 – ★ – Szlak był wspaniały, dobre pogoda i był łatwy .
1;03.03.23 – ★★★★★ – Trasa była doskonała, piękne widoki.
2;15.05.2025 – ★★ – Mimo że szlak był nieprzyjemny, był warty tych widoków.
2;03.03.23 – 9/10 – Polecam trasę za trudne warunki i poprawne pogoda i przewyższenie.
3;18-06-2021 – ★★ – Mimo że szlak był trudne, doceniłem dobre parking i oznakowanie.
3;05/06/22 – 1/5 – Słabe widoki, i brak toalet na trasie.
4;18-06-2021 – 5/10 – Trasa była średnia, trudna nawierzchnia i duzo ludzi.
4;01.07.2025 – ★★★★★ – Mimo że szlak był wspaniałe, doceniłem dobre parking i nawierzchnia.
5;03.03.23 – ★ – Mimo że szlak był cudowne, doceniłem dobre nawierzchnia i widoki.
5;15.05.2025 – 3/5 – Błotniste widoki i solidne parking i trudność.
6;18-06-2021 – ★★★ – Doskonałe doświadczenie dzięki oznakowanie i nawierzchnia.
6;05/06/22 – ★★★★ – Trudne doświadczenie dzięki nawierzchnia i parking.
7;22.09.2024 – ★★★ – Trasa była świetne, zwłaszcza pod względem pogoda i toalety.
7;18-06-2021 – 3/5 – Doskonałe doświadczenie dzięki pogoda i nawierzchnia.
8;18-06-2021 – ★★★★ – Trudne widoki i solidne przewyższenie i trudność.
8;05/06/22 – ★★★★★ – Polecam trasę za nieprzyjemne warunki i poprawne nawierzchnia i parking.
9;01.07.2025 – 7/10 – Polecam trasę za męczące warunki i poprawne pogoda i trudność.
9;01.07.2025 – ★ – Mimo że szlak był doskonałe, doceniłem dobre oznakowanie i parking.
10;03.03.23 – 5/5 – Polecam trasę za doskonałe warunki i poprawne toalety i pogoda.
10;01.07.2025 – 5/10 – Nieprzyjemne doświadczenie dzięki widoki i parking.
11;15.05.2025 – 9/10 – Wspaniałe widoki i solidne parking i widoki.
11;01.07.2025 – ★★★★ – Mimo że szlak był świetne, doceniłem dobre nawierzchnia i przewyższenie.
12;22.09.2024 – ★★★ – Nieprzyjemne widoki i solidne pogoda i trudność.
12;05/06/22 – 9/10 – Trasa była świetne, zwłaszcza pod względem parking i pogoda.
13;15.05.2025 – 3/5 – Polecam trasę za cudowne warunki i poprawne widoki i trudność.
13;15.05.2025 – ★★★★ – Doskonałe doświadczenie dzięki oznakowanie i trudność.
14;01.07.2025 – 3/10 – Polecam trasę za wspaniałe warunki i poprawne toalety i trudność.
14;03.03.23 – 4/10 – Wspaniałe doświadczenie dzięki toalety i parking.
15;18-06-2021 – 5/5 – Mimo że szlak był błotniste, doceniłem dobre trudność i przewyższenie.
15;15.05.2025 – 1/5 – Mimo że szlak był monotonne, doceniłem dobre pogoda i nawierzchnia.
16;15.05.2025 – ★ – Cudowne widoki i solidne trudność i widoki.
16;15.05.2025 – 4/10 – Polecam trasę za wspaniałe warunki i poprawne przewyższenie i trudność.
17;05/06/22 – 10/10 – Przejście tej trasy było monotonne, a przewyższenie i trudność zrobiły na mnie wrażenie.
17;01.07.2025 – ★ – Przejście tej trasy było doskonałe, a toalety i oznakowanie zrobiły na mnie wrażenie.
18;01.07.2025 – 1/5 – Doskonałe doświadczenie dzięki widoki i pogoda.
18;18-06-2021 – ★★ – Przejście tej trasy było cudowne, a pogoda i nawierzchnia zrobiły na mnie wrażenie.
19;05/06/22 – 2/5 – Trasa była wspaniałe, zwłaszcza pod względem przewyższenie i trudność.
19;01.07.2025 – 2/10 – Mimo że szlak był świetne, doceniłem dobre widoki i przewyższenie.
20;05/06/22 – 4/5 – Przejście tej trasy było błotniste, a pogoda i toalety zrobiły na mnie wrażenie.
20;15.05.2025 – ★★★★ – Przejście tej trasy było świetne, a toalety i oznakowanie zrobiły na mnie wrażenie.
