date;location_id;avg_temp;min_temp;max_temp;precipitation;sunshine_hours;cloud_cover
2025-05-15;Gdańsk;6.3;4;8.1;4.676;;76.5
2025-05-16;Gdańsk;7.7;5.7;8.9;8.315;;91.7
2025-05-17;Gdańsk;7.4;6;8.7;6.993;;96.5
2025-05-18;Gdańsk;8.7;7.2;10.7;2.487;;66.7
2025-05-19;Gdańsk;9.5;7.4;11.6;0.56;;87.2
2025-05-20;Gdańsk;14.2;6.4;20.8;0;;19
2025-05-21;Gdańsk;14.4;9;21;0.3;;35.6
2025-05-22;Gdańsk;10;7;16;0;;75
2025-05-23;Gdańsk;9;5;14;0.1;;48.9
2025-05-24;Gdańsk;10.2;3.7;16.1;0.7;;46
2025-05-25;Gdańsk;13.5;6.1;19.5;0;;74
2025-05-26;Gdańsk;14.5;10.3;17.1;4.6;;73.2
2025-05-27;Gdańsk;15.1;8.7;19.9;0.2;;56.1
2025-05-28;Gdańsk;15.9;12.5;19.9;1.6;;95.6
2025-05-29;Gdańsk;14.3;11.7;17.1;5.3;;95.1
2025-05-30;Gdańsk;12.9;10;15.8;0.9;;52.9
2025-05-31;Gdańsk;13.5;9.5;17.2;0.1;;36
2025-06-01;Gdańsk;15.3;8.1;21.1;0.3;;59.7
2025-06-02;Gdańsk;16.7;12.4;20.6;1.5;;29.1
2025-06-03;Gdańsk;15.8;11;20.2;0.4;;49.4
2025-06-04;Gdańsk;12.7;8.8;15.8;0;;2.7
2025-06-05;Gdańsk;12.8;8.7;17.2;0;;0.6
2025-06-06;Gdańsk;12.1;7.7;16.3;0;;1.3
2025-06-07;Gdańsk;15.9;10.9;20.1;0.6;;42.5
2025-06-08;Gdańsk;15.7;10.6;20.3;1.2;;42.8
2025-06-09;Gdańsk;15.5;10.1;20.3;0.9;;31.9
2025-06-10;Gdańsk;16.1;10.3;21.2;0.5;;40.1
2025-06-11;Gdańsk;16.7;11.5;21.6;3.3;;35.6
2025-06-12;Gdańsk;16.3;11.4;20.7;0.3;;42.3
2025-06-13;Gdańsk;15.9;11.3;20;1.1;;46.8
2025-06-14;Gdańsk;15.8;11.5;19.7;0.6;;47.6
2025-06-15;Gdańsk;15.1;10.6;18.9;0.6;;47.1
